Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges
mg6_n,1,0,12.02028248,0,0.094150922,0,0,NaN,26,27,83,92
mg6_n,2,1,0.136458144,7.497647261,0.02574007,1,6.748823631,74.907582,26,27,83,92
mg6_n,3,1,0.132002165,7.497647261,0.020894987,1,6.748823631,90.47154402,26,27,83,92
mg6_n,4,1,0.923169542,10.94461151,0.029127124,1,8.472305755,154.2861394,26,27,83,92
mg6_n,10,1,0.564826912,11.77838423,0.038456484,1,8.889192116,50.22107633,26,27,83,92
mg6_n,7,1,1.800208454,11.18163313,0.073534779,1,8.590816563,86.58054502,26,27,83,92
mg6_n,13,6,0.176827867,0.184422279,0.053961673,2,11.63768226,5.83189908,26,27,83,92
mg6_n,8,1,6.48415029,11.30705685,0.049840057,1,8.653528424,92.93166796,26,27,83,92
mg6_n,18,5,0.466012491,0.626126388,0.033056089,2,11.85853432,52.13811852,26,27,83,92
mg6_n,12,4,1.015215792,0.321484318,0.142708526,2,11.63304791,175.8400739,26,27,83,92
mg6_n,19,5,1.067804479,0.712374577,0.034987027,2,11.90165841,2.950283375,26,27,83,92
mg6_n,9,1,8.943295184,11.74691668,0.050992379,1,8.873458338,69.81434172,26,27,83,92
mg6_n,24,6,2.569585698,1.267998299,0.049966192,2,12.17947027,32.04481662,26,27,83,92
mg6_n,11,1,9.574956113,11.88474986,0.055619268,1,8.942374928,14.68515366,26,27,83,92
mg6_n,29,6,0.209497374,4.655004689,0.035152335,2,13.87297347,78.75360389,26,27,83,92
mg6_n,16,5,5.082879694,0.560807071,0.051660364,2,11.82587466,128.7991751,26,27,83,92
mg6_n,30,6,0.241377401,5.983018607,0.026356311,2,14.53698043,56.88076823,26,27,83,92
mg6_n,32,18,0.080239219,0.161408381,0.027810407,3,14.93923851,49.51171464,26,27,83,92
mg6_n,6,1,13.17218262,11.09094224,0.061425466,1,8.545471122,87.2916325,26,27,83,92
mg6_n,34,17,0.472710675,0.298131594,0.043155984,3,14.96067005,34.80373627,26,27,83,92
mg6_n,22,7,7.171494446,0.91459833,0.049657421,2,12.04811573,91.23682817,26,27,83,92
mg6_n,39,17,0.249664396,3.229189438,0.046404171,3,16.42619897,19.87759532,26,27,83,92
mg6_n,40,5,0.277199919,10.1432362,0.021869799,2,16.61708922,59.59102089,26,27,83,92
mg6_n,41,5,0.124131007,10.77326207,0.021734731,2,16.93210216,90.50903104,26,27,83,92
mg6_n,42,5,0.302919101,10.99691601,0.039098957,2,17.04392913,124.0324445,26,27,83,92
mg6_n,17,6,11.26019517,0.532266261,0.050590104,2,11.81160425,42.17702959,26,27,83,92
mg6_n,5,1,22.08441089,11.09094224,0.055671769,1,8.545471122,174.3232453,26,27,83,92
mg6_n ave,NaN,NaN,3.948285094,5.828917621,0.047541607,1.666666667,11.23094205,74.63427181,26,27,83,92
mg7_n,3,1,0.103857072,0.427419296,0.058487567,1,3.213709648,168.1424366,10,33,90,96
mg7_n,4,1,0.42114648,0.459886546,0.114313917,1,3.229943273,29.65164003,10,33,90,96
mg7_n,7,1,0.302990778,0.824778121,0.05946136,1,3.412389061,56.71153183,10,33,90,96
mg7_n,8,1,0.278755729,1.607039441,0.03281162,1,3.80351972,105.7374657,10,33,90,96
mg7_n,9,1,0.479974405,2.091785613,0.025727505,1,4.045892806,91.61634016,10,33,90,96
mg7_n,12,1,0.179709537,2.472740409,0.048651855,1,4.236370205,178.4814164,10,33,90,96
mg7_n,14,1,0.344135325,2.945212162,0.033933374,1,4.472606081,132.0076825,10,33,90,96
mg7_n,15,1,0.150487189,3.311503768,0.034747454,1,4.655751884,59.36223351,10,33,90,96
mg7_n,16,1,0.310649577,3.404015059,0.026002946,1,4.702007529,18.21919269,10,33,90,96
mg7_n,18,1,0.173233266,3.695904889,0.02458132,1,4.847952444,44.09285102,10,33,90,96
mg7_n,19,1,0.325591933,3.809238264,0.032138871,1,4.904619132,94.17020871,10,33,90,96
mg7_n,20,1,0.157604932,4.103504034,0.030530615,1,5.051752017,81.45060907,10,33,90,96
mg7_n,5,1,4.118034145,0.597499869,0.04126851,1,3.298749935,28.59415699,10,33,90,96
mg7_n,22,1,0.200498587,4.913479803,0.025767776,1,5.456739901,61.97785972,10,33,90,96
mg7_n,23,1,0.303208043,4.913479803,0.024407713,1,5.456739901,73.02214028,10,33,90,96
mg7_n,24,1,0.112199361,5.073587042,0.026825213,1,5.536793521,72.16984168,10,33,90,96
