Plant ID,Root Number,Predecessor,Length (cm),Prelength (cm),Diameter (cm),Branching Order,"Approx, grow time (days)",Branching Angle,Root System Width (cm),Number of Lateral Roots,Nodes,Edges,
mg4_p,17,1,2.129048431,1.454472897,0.040795573,1,3.727236449,46.8303096,12,29,95,120,
mg4_p,24,1,1.289621894,2.299833615,0.034265351,1,4.149916807,26.10175535,12,29,95,120,
mg4_p,1,0,10.10347127,0,0.064505465,0,0,NaN,12,29,95,120,
mg4_p,27,1,0.78105536,3.589247118,0.032128503,1,4.794623559,4.766169155,12,29,95,120,
mg4_p,14,1,4.919099777,1.30057404,0.044000909,1,3.65028702,70.92625438,12,29,95,120,
mg4_p,34,1,0.272105651,6.895849055,0.012043917,1,6.447924528,86.62575878,12,29,95,120,
mg4_p,40,10,0.3357158,0.262731682,0.03137213,2,6.65461306,74.2018096,12,29,95,120,
mg4_p,20,1,5.827497299,1.886569382,0.045945262,1,3.943284691,20.46574653,12,29,95,120,
mg4_p,43,7,0.500953019,1.282930177,0.033064759,2,6.965293848,9.580412091,12,29,95,120,
mg4_p,13,1,7.445470558,1.237530935,0.045424093,1,3.618765467,39.42889664,12,29,95,120,
mg4_p,52,1,0.210065235,8.777124843,0.043173855,1,7.388562421,10.37956531,12,29,95,120,
mg4_p,5,1,8.556936376,0.528907889,0.041923465,1,3.264453944,61.94756925,12,29,95,120,
mg4_p,42,1,1.514980709,7.659041016,0.048568633,1,6.829520508,0.017966677,12,29,95,120,
mg4_p,11,1,8.300245958,1.110572302,0.044756995,1,3.555286151,68.78407086,12,29,95,120,
mg4_p,59,1,0.198452237,9.490212159,0.044532411,1,7.74510608,23.8226989,12,29,95,120,
mg4_p,30,1,6.386936317,4.525193508,0.044614928,1,5.262596754,0.163664754,12,29,95,120,
mg4_p ave,NaN,NaN,2.367541052,2.382128198,0.050887111,1.037037037,4.333548395,59.10207811,12,29,95,120,
mg5_p,1,0,6.855729249,0,0.053480468,0,0,NaN,6.3,66,175,207,
mg5_p,2,1,0.116127482,3.343256027,0.01784021,1,4.671628013,150.9799091,6.3,66,175,207,
mg5_p,3,1,0.134469649,3.984841402,0.017103102,1,4.992420701,137.6361167,6.3,66,175,207,
mg5_p,4,1,0.033733176,5.559598684,0.020707107,1,5.779799342,117.1561436,6.3,66,175,207,
mg5_p,9,1,0.316395576,5.831107784,0.034105074,1,5.915553892,154.9909633,6.3,66,175,207,
mg5_p,7,1,0.672699394,5.719245068,0.036601401,1,5.859622534,145.829772,6.3,66,175,207,
mg5_p,17,1,0.122684566,6.319390647,0.038430855,1,6.159695323,54.98568044,6.3,66,175,207,
mg5_p,11,1,0.819335939,5.885672004,0.05976213,1,5.942836002,7.487100756,6.3,66,175,207,
mg5_p,15,1,0.400679643,6.319390647,0.026306629,1,6.159695323,137.1655778,6.3,66,175,207,
mg5_p,12,1,1.068880746,5.979103382,0.054534842,1,5.989551691,31.96634686,6.3,66,175,207,
mg5_p,13,1,3.918856485,6.011162968,0.030452106,1,6.005581484,145.0510865,6.3,66,175,207,
mg5_p,23,6,0.074510344,0.176530738,0.020909107,2,8.935395914,42.88682236,6.3,66,175,207,
mg5_p,24,5,0.045417867,0.257354598,0.018434987,2,8.975807844,73.43341125,6.3,66,175,207,
mg5_p,8,1,6.31227733,5.762740604,0.03283871,1,5.881370302,124.0546717,6.3,66,175,207,
mg5_p,25,5,0.07305309,0.281943341,0.018206945,2,8.988102216,66.97851362,6.3,66,175,207,
mg5_p,18,1,5.561518888,6.615178471,0.031439962,1,6.307589235,113.5191619,6.3,66,175,207,
mg5_p,27,6,0.135633879,0.344591417,0.018747159,2,9.019426254,24.30150818,6.3,66,175,207,
mg5_p,34,7,0.073532506,0.396180155,0.018508012,2,9.057712611,32.03028864,6.3,66,175,207,
mg5_p,6,1,6.745192191,5.694261091,0.035594187,1,5.847130545,4.17446964,6.3,66,175,207,
mg5_p,39,5,0.125471583,0.616097291,0.017621266,2,9.155179191,32.33743471,6.3,66,175,207,
mg5_p,40,5,0.081437522,0.676549426,0.020686909,2,9.185405258,61.37176827,6.3,66,175,207,
mg5_p,41,5,0.098035975,0.990652929,0.019567449,2,9.34245701,74.17457921,6.3,66,175,207,
mg5_p,32,13,1.007851418,0.06027628,0.024736584,2,9.035719624,8.142745157,6.3,66,175,207,
mg5_p,42,5,0.084741421,1.27792317,0.015714192,2,9.48609213,59.85565655,6.3,66,175,207,
mg5_p,43,18,0.213619441,0.334513814,0.027505197,2,9.474846142,173.6596855,6.3,66,175,207,
mg5_p,45,5,0.102732525,1.355473483,0.017754762,2,9.524867287,36.913645,6.3,66,175,207,
mg5_p,48,5,0.10922998,1.539840572,0.017349283,2,9.617050832,50.94683422,6.3,66,175,207,
mg5_p,49,5,0.181199097,1.609888766,0.017399442,2,9.652074929,44.69386189,6.3,66,175,207,
mg5_p,51,5,0.135625509,1.880082974,0.017683098,2,9.787172032,38.58378233,6.3,66,175,207,
mg5_p,50,5,0.345557456,1.772386204,0.020397514,2,9.733323647,76.63304708,6.3,66,175,207,
mg5_p,52,5,0.194180279,1.980089045,0.020332171,2,9.837175068,36.81347375,6.3,66,175,207,
mg5_p,53,8,0.105115766,2.084658943,0.0194594,2,9.923699774,35.72502343,6.3,66,175,207,
mg5_p,55,8,0.133398348,2.171382035,0.019656528,2,9.96706132,14.08966401,6.3,66,175,207,
mg5_p,54,5,0.339027714,2.257045843,0.019897256,2,9.975653467,5.822277031,6.3,66,175,207,
mg5_p,58,5,0.179582314,2.485965396,0.023032617,2,10.09011324,83.28485814,6.3,66,175,207,
mg5_p,62,8,0.109308923,2.822958116,0.01767225,2,10.29284936,31.52669521,6.3,66,175,207,
mg5_p,63,5,0.070038525,3.094182221,0.02113331,2,10.39422166,40.56276476,6.3,66,175,207,
mg5_p,68,5,0.26895666,3.771181014,0.017935847,2,10.73272105,51.95501909,6.3,66,175,207,
mg5_p,59,5,1.444752838,2.673095288,0.023239195,2,10.18367819,50.78605609,6.3,66,175,207,
mg5_p,70,5,0.170847458,4.042686021,0.022674543,2,10.86847356,87.08843893,6.3,66,175,207,
mg5_p,71,5,0.065341679,4.201897467,0.024409966,2,10.94807928,12.04338693,6.3,66,175,207,
mg5_p,56,5,2.03537257,2.413666463,0.024588523,2,10.05396378,82.5083886,6.3,66,175,207,
mg5_p,60,5,1.668316888,2.739597698,0.023564148,2,10.21692939,49.51113452,6.3,66,175,207,
mg5_p,67,5,0.726456158,3.718190735,0.024050394,2,10.70622591,4.08539562,6.3,66,175,207,
mg5_p,75,5,0.173742518,4.610293535,0.015351316,2,11.15227731,6.658029072,6.3,66,175,207,
mg5_p,76,5,0.05009884,4.77156802,0.023111488,2,11.23291456,135.2018794,6.3,66,175,207,
mg5_p,65,5,1.752273065,3.190116681,0.025569712,2,10.44218889,10.07191353,6.3,66,175,207,
mg5_p,74,5,0.572530945,4.5618883,0.019777938,2,11.1280747,35.0286833,6.3,66,175,207,
mg5_p,64,5,2.099478565,3.134935888,0.027784032,2,10.41459849,11.644301,6.3,66,175,207,
mg5_p,78,5,0.394168881,4.991460845,0.019669269,2,11.34286097,93.08027149,6.3,66,175,207,
mg5_p,66,5,1.974211091,3.477425,0.023710743,2,10.58584305,33.51212322,6.3,66,175,207,
mg5_p,77,5,0.929493293,4.877963022,0.021238554,2,11.28611206,105.931711,6.3,66,175,207,
mg5_p,79,5,0.135527027,5.670386803,0.018610799,2,11.68232395,91.69726939,6.3,66,175,207,
mg5_p,81,5,0.400303956,6.157155465,0.017675825,2,11.92570828,78.59728277,6.3,66,175,207,
mg5_p,84,5,0.038721281,6.879605761,0.03007432,2,12.28693343,89.66897845,6.3,66,175,207,
mg5_p,88,5,0.036040561,7.150396084,0.016657871,2,12.42232859,104.6617155,6.3,66,175,207,
mg5_p,83,5,0.658696708,6.711565563,0.02388992,2,12.20291333,7.309003058,6.3,66,175,207,
mg5_p,5,1,13.68707842,5.694261091,0.039637626,1,5.847130545,132.4471827,6.3,66,175,207,
mg5_p,89,5,0.079243534,8.389143892,0.021751426,2,13.04170249,28.96519533,6.3,66,175,207,
mg5_p,90,5,0.116912321,8.408378662,0.020305217,2,13.05131988,137.1434084,6.3,66,175,207,
mg5_p,94,5,0.048960102,9.151223222,0.018371661,2,13.42274216,134.3182414,6.3,66,175,207,
mg5_p,95,64,0.231504533,0.05066665,0.019279709,3,13.43993181,2.315136871,6.3,66,175,207,
mg5_p,93,5,0.387916378,9.08533094,0.023505347,2,13.38979602,70.55838464,6.3,66,175,207,
mg5_p,98,5,0.118699848,9.602242029,0.020411961,2,13.64825156,98.80962393,6.3,66,175,207,
mg5_p,108,64,0.116320402,1.787361155,0.02188982,3,14.30827907,44.48045708,6.3,66,175,207,
mg5_p,110,64,0.025334552,1.936518572,0.035180822,3,14.38285778,130.5028484,6.3,66,175,207,
mg5_p ave,NaN,NaN,1.02279065,3.747601779,0.024326064,1.803030303,9.565318807,67.54379693,6.3,66,175,207,
mg6_p,6,1,0.169336578,6.072532114,0.043235402,1,6.036266057,152.443118,14,65,160,184,
mg6_p,3,1,1.078907286,5.568717164,0.149548446,1,5.784358582,137.6121848,14,65,160,184,
mg6_p,7,1,0.771344113,6.217025583,0.028870623,1,6.108512791,72.77092423,14,65,160,184,
mg6_p,8,1,0.2294879,7.569721205,0.028832979,1,6.784860602,73.56139677,14,65,160,184,
mg6_p,10,1,0.069746429,7.803840751,0.040618254,1,6.901920376,80.42049975,14,65,160,184,
mg6_p,11,1,0.124581661,7.88031022,0.030428175,1,6.94015511,78.01009795,14,65,160,184,
mg6_p,13,1,0.106957915,8.156690577,0.034495358,1,7.078345288,56.7017923,14,65,160,184,
mg6_p,15,1,0.200824383,8.436256086,0.043057697,1,7.218128043,69.93560072,14,65,160,184,
mg6_p,17,1,0.090681165,8.744195879,0.054411869,1,7.37209794,39.57781513,14,65,160,184,
mg6_p,16,1,0.407335339,8.582401794,0.031172069,1,7.291200897,40.35232553,14,65,160,184,
mg6_p,19,1,0.150482325,9.417701525,0.021732944,1,7.708850763,57.93580681,14,65,160,184,
mg6_p,20,1,0.291727111,9.538716733,0.030675606,1,7.769358366,82.07742179,14,65,160,184,
mg6_p,21,1,0.260148825,9.937449726,0.029701608,1,7.968724863,52.13184255,14,65,160,184,
mg6_p,22,1,0.102573131,10.10774255,0.022458225,1,8.053871276,74.40507233,14,65,160,184,
